RMS,MAV,WL,target
556.7069173374931,556.5165425971877,2068.0,mesaio
559.8024805271061,559.1422663358147,3582.0,mesaio
529.27020075707,529.0926385442515,2102.0,mesaio
543.7000873149061,543.483870967742,2213.0,mesaio
553.165321613319,552.9615384615385,2046.0,mesaio
557.3023415680998,556.882547559967,2429.0,mesaio
554.034341994412,553.763440860215,2181.0,mesaio
553.4899605922648,553.1455748552522,2476.0,mesaio
554.1375731338235,553.8461538461538,2373.0,mesaio
548.0375512391812,547.6786600496278,2743.0,mesaio
554.4048571734993,554.1873449131514,2366.0,mesaio
550.7194140717818,550.2427626137304,2957.0,mesaio
549.0262645113095,548.7721257237387,2437.0,mesaio
553.3856886748225,553.0794044665013,2399.0,mesaio
552.8518393996202,552.4524400330852,2419.0,mesaio
550.6164234955168,550.3449131513647,2371.0,mesaio
552.2833275255523,552.0401157981803,2388.0,mesaio
553.175433264091,552.9408602150538,2386.0,mesaio
549.8355472614135,549.531017369727,2678.0,mesaio
551.1689112554257,550.929693961952,2600.0,mesaio
548.1356242126736,547.8949545078577,2270.0,mesaio
553.1831008000449,552.9003308519437,2460.0,mesaio
552.7211794686816,552.3639371381307,2608.0,mesaio
552.8955496599216,552.6484698097602,2433.0,mesaio
551.0211585813208,550.7390405293631,2455.0,mesaio
550.8853667914162,550.6426799007444,2537.0,mesaio
552.2688704730976,551.6538461538462,2736.0,mesaio
548.9421585039366,548.7092638544251,2597.0,mesaio
551.9830308404551,551.5690653432589,2918.0,mesaio
552.4002486779438,552.0380479735319,2830.0,mesaio
549.1293021575216,548.7456575682382,2411.0,mesaio
550.0847475876203,549.7894954507858,2470.0,mesaio
550.4204284510568,549.9822167080232,2861.0,mesaio
552.4071543574332,552.1116625310174,2532.0,mesaio
549.4927561687105,549.186517783292,2420.0,mesaio
552.7212741203091,552.4917287014061,2413.0,mesaio
548.8270928379171,548.6583953680728,2263.0,mesaio
549.7385253341439,549.5843672456575,2197.0,mesaio
551.445381415842,551.2444168734492,2407.0,mesaio
548.8066164262696,548.6889991728701,1981.0,mesaio
550.029045777892,549.8660049627791,2211.0,mesaio
551.2504422142049,551.0897435897435,2080.0,mesaio
551.6254914302809,551.429693961952,2332.0,mesaio
551.1883263759927,550.7696443341605,2653.0,mesaio
551.7628677250449,551.4921422663358,2719.0,mesaio
550.1991386988708,549.9441687344913,2375.0,mesaio
549.1200815278368,548.854011579818,2487.0,mesaio
551.6315937463964,551.4077750206783,2561.0,mesaio
548.2553425143557,548.1033912324235,2142.0,mesaio
548.2517183284738,548.0442514474772,2391.0,mesaio
551.7506917885692,551.4015715467328,2596.0,mesaio
550.8607814105828,550.5930521091811,2337.0,mesaio
549.8128044469587,549.5533498759305,2430.0,mesaio
549.1090256810274,548.8842018196857,2327.0,mesaio
550.0163769273943,549.5616211745244,2881.0,mesaio
550.8188621872655,550.5132340777502,2601.0,mesaio
548.103725550148,547.8354011579818,2358.0,mesaio
550.422989837757,550.1964433416047,2540.0,mesaio
550.5776558938454,550.2803970223325,2475.0,mesaio
551.4689811955371,551.2605459057072,2398.0,mesaio
553.0479639732176,552.8792390405293,2237.0,mesaio
549.6908981783452,549.294458229942,2886.0,mesaio
547.889751593096,547.4693961952026,2980.0,mesaio
549.8171972321422,549.5516956162118,2659.0,mesaio
551.1056211899821,550.6439205955335,3056.0,mesaio
549.3324074540287,548.9673283705541,2686.0,mesaio
552.6838615210086,552.5583126550869,2047.0,mesaio
550.33355627259,550.0082712985939,2887.0,mesaio
551.6334031737971,551.4536807278743,2348.0,mesaio
549.9391736422938,549.6844499586435,2440.0,mesaio
551.7522467286001,551.3945409429281,2476.0,mesaio
550.9872649051662,550.7204301075269,2511.0,mesaio
551.0779612312932,550.7828784119107,2486.0,mesaio
550.7388938486948,550.4896608767576,2231.0,mesaio
552.0060476047568,551.833746898263,2340.0,mesaio
552.1878684840059,552.0252274607113,2201.0,mesaio
551.3737944512866,551.0537634408602,2513.0,mesaio
550.9884114285309,550.4958643507031,2688.0,mesaio
551.5764440352375,551.1774193548387,2959.0,mesaio
551.1909220850035,550.8072787427626,2906.0,mesaio
549.2243315973244,548.8891645988421,2592.0,mesaio
549.650681986693,549.3982630272952,2432.0,mesaio
550.3040899337833,549.9313482216708,2833.0,mesaio
550.470823366687,550.0115798180315,3180.0,mesaio
552.7367806813191,552.2349048800662,3169.0,mesaio
552.6383523334313,552.3254755996692,2402.0,mesaio
549.6874478488486,549.1149710504549,3086.0,mesaio
550.2173876726093,549.8602150537635,2930.0,mesaio
550.4906342335222,549.8457402812242,3348.0,mesaio
546.8770897395971,546.4520264681555,2486.0,mesaio
548.3327425259727,547.9826302729529,2407.0,mesaio
551.0223459386549,550.6786600496278,2843.0,mesaio
554.4304691855331,554.3205128205128,1798.0,mesaio
548.7301077786744,548.3606286186931,2911.0,mesaio
550.9822828487628,550.145988420182,2937.0,mesaio
549.6436043577824,549.3019023986766,2669.0,mesaio
552.1271973928741,551.6414392059553,2498.0,mesaio
549.3466289837845,548.9503722084368,2589.0,mesaio
552.3487561946797,552.1526054590571,2123.0,mesaio
551.3990694856233,551.0479735318445,2386.0,mesaio
550.9911356785702,550.6294458229942,2481.0,mesaio
548.5801814387104,548.13523573201,2445.0,mesaio
553.9883902000355,553.8759305210918,1943.0,mesaio
549.9778339769749,549.4334160463193,2493.0,mesaio
549.0194213887472,548.6509511993384,2419.0,mesaio
549.8530283365593,549.6282051282051,2418.0,mesaio
556.5780031716646,556.2746071133168,2521.0,mesaio
550.8528626993655,550.4602977667494,2536.0,mesaio
550.4778505418162,550.2899090157155,2013.0,mesaio
550.5965934943446,550.5822994210091,937.0,mikro
547.6455847697334,547.5665839536807,1193.0,mikro
548.249172068033,548.1960297766749,928.0,mikro
551.5787095124572,551.5525227460711,881.0,mikro
550.8503768875189,550.843258891646,898.0,mikro
549.5003606932256,549.4958643507031,916.0,mikro
548.5959897473867,548.5723738626964,989.0,mikro
551.0014313381063,550.9437551695617,1304.0,mikro
550.6873579177106,550.5744416873449,1426.0,mikro
550.2327479558782,550.1836228287841,1238.0,mikro
548.081173840408,548.016129032258,1386.0,mikro
551.2472173386964,551.1952026468156,1284.0,mikro
549.2196042543187,549.1637717121588,1423.0,mikro
550.1515814879843,550.1182795698925,1172.0,mikro
550.5395815488145,550.5115798180315,1120.0,mikro
549.35678495056,549.3221670802316,1292.0,mikro
548.7834779077109,548.7175351530191,1358.0,mikro
551.0332189206124,550.979735318445,1319.0,mikro
549.2508805424666,549.208023159636,1301.0,mikro
551.534749045304,551.4917287014061,1301.0,mikro
550.0491206728896,549.9863523573201,1407.0,mikro
550.6751683394132,550.6166253101737,1399.0,mikro
549.2020017349513,549.1530190239868,1283.0,mikro
550.5320927923962,550.4809760132341,1453.0,mikro
549.564371054179,549.489247311828,1503.0,mikro
550.957511508083,550.8990901571547,1408.0,mikro
550.1098845039503,550.0430107526881,1420.0,mikro
549.4362781420854,549.382547559967,1277.0,mikro
549.8805242816702,549.8101736972704,1428.0,mikro
550.8650111832351,550.8196856906534,1329.0,mikro
550.8879853235708,550.8196856906534,1525.0,mikro
549.8033162120644,549.7179487179487,1585.0,mikro
